HOOD,lst_mean,greenspace_pct,cooling_score
Trinity-Bellwoods,33.6,10.5,9.0
West Humber-Clairville,32.8,14.7,14.9
Mount Olive-Silverstone-Jamestown,30.2,29.7,35.2
Humber Summit,33.6,16.4,14.9
Thistletown-Beaumond Heights,29.9,37.9,44.2
Humbermede,31.8,26.5,28.9
Rexdale-Kipling,31.1,19.8,23.5
Elms-Old Rexdale,29.6,52.8,59.9
Pelmo Park-Humberlea,31.4,18.9,22.0
Downsview-Roding-CFB,31.6,23.8,26.5
Kingsview Village-The Westway,30.5,26.7,31.6
Weston,31.5,13.3,16.0
Rustic,30.6,14.5,19.0
Humber Heights-Westmount,29.7,29.2,36.0
Brookhaven-Amesbury,32.8,18.9,19.2
Mount Dennis,29.4,41.1,48.6
Willowridge-Martingrove-Richview,31.0,13.0,16.9
Princess-Rosethorn,29.8,24.2,30.5
Eringate-Centennial-West Deane,30.2,41.7,47.5
Edenbridge-Humber Valley,29.1,35.5,43.5
Rockcliffe-Smythe,30.0,40.7,46.9
Markland Woods,30.4,22.6,27.8
Etobicoke West Mall,30.9,11.7,15.6
Islington-City Centre West,31.6,9.9,12.5
Alderwood,31.2,8.8,12.0
Long Branch,28.9,19.6,27.8
New Toronto,30.1,22.0,27.8
Mimico,30.7,11.5,15.9
Stonegate-Queensway,29.8,22.9,29.3
Kingsway South,28.9,20.4,28.5
Lambton Baby Point,28.4,33.5,42.9
High Park-Swansea,26.9,53.1,65.9
Runnymede-Bloor West Village,31.2,7.3,10.5
High Park North,30.3,6.3,11.4
Junction Area,32.7,5.4,5.7
Roncesvalles,31.4,4.8,7.7
South Parkdale,29.5,22.1,28.9
Dufferin Grove,32.9,6.8,6.5
Little Portugal,33.0,2.1,1.7
Dovercourt-Wallace Emerson-Juncti,33.6,7.6,6.1
Niagara,29.8,13.9,20.2
Weston-Pellam Park,33.7,5.5,3.7
Palmerston-Little Italy,33.1,3.1,2.6
University,33.8,2.1,0.0
Kensington-Chinatown,33.7,4.6,2.7
Waterfront Communities-The Island,27.9,50.0,60.7
Annex,31.9,9.6,11.4
Wychwood,32.2,10.9,12.1
Corsa Italia-Davenport,33.7,15.9,14.1
Oakwood-Vaughan,33.5,3.4,1.9
Humewood-Cedarvale,29.9,17.3,23.3
Casa Loma,29.9,23.3,29.4
Forest Hill South,29.9,13.7,19.8
Yonge-St.Clair,31.5,15.2,18.0
Bay Street Corridor,29.5,8.2,15.0
Rosedale-Moore Park,29.1,31.5,39.3
Church-Yonge Corridor,30.4,4.8,9.6
Caledonia-Fairbanks,32.4,20.3,21.3
North St.James Town,30.1,4.9,10.4
Cabbagetown-South St.James Town,29.4,40.5,48.0
Moss Park,30.9,10.9,14.9
Regent Park,30.3,10.8,16.0
Playter Estates-Danforth,31.5,17.3,20.2
South Riverdale,28.6,40.1,49.2
North Riverdale,30.3,27.0,32.4
Blake-Jones,31.6,10.5,13.0
Danforth Village - Toronto,31.9,5.0,6.7
Broadview North,29.5,35.8,43.0
Old East York,30.1,18.7,24.4
Danforth Village - East York,31.9,8.1,10.0
Greenwood-Coxwell,30.8,13.2,17.3
